Rk,Player,Nation,Pos,Squad,League,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKmiss,PK Save%,FK GA,CK GA,OG GA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/-p90,Launched Pass Cmp,Launched Pass Att,Launched Pass Cmp%,GK Throws,Launched Pass%,AvgLen Launched,Att Goal Kicks,Launch Goal Kicks%,AvgLen Goal Kicks,Crosses faced,Crosses stopped,Crosses Stp%,OPA Actions,OPA p90,OPA AvgDist,Cmp Passes,Att Passes,Total Pass Cmp%,TotDist,PrgDist,Cmp Short Passes,Att Short Passes,Cmp Short Passes%,Cmp Med Passes,Att Med Passes,Cmp Med Passes%,Cmp Long Passes,Att Long Passes,Cmp Long Passes%,Ast,xAG,xA,A-xAG,KP,Passes into Final third,PPA,CrsPA,PrgP
135,Maarten Vandevoordt,be BEL,GK,RB Leipzig,G. Bundesliga,23-088,2002,6,4,429,4.8,9,1.89,21,12,57.1,1,1,2,0,0,0,0,0,0,,0,4,0,7.3,0.36,-1.7,-0.35,19,52,36.5,27,23,29.4,35,57.1,46,78,7,9,11,2.31,16.1,138,175,78.9,3557,2188,27,27,100,75,75,100,35,71,49.3,0,0,0,0,0,3,0,0,4
136,Jonas Urbig,de GER,GK,Bayern Munich,G. Bundesliga,21-290,2003,8,8,720,8,12,1.5,28,16,57.1,4,3,1,2,25,0,0,0,0,,0,2,0,10.3,0.38,-1.7,-0.21,30,79,38,33,26.2,30.9,23,43.5,43.1,81,5,6.2,21,2.63,17.4,232,286,81.1,6043,4239,46,46,100,121,123,98.4,65,116,56,0,0,0.1,0,0,8,1,0,3
137,Sven Ulreich,de GER,GK,Bayern Munich,G. Bundesliga,36-295,1988,1,1,90,1,0,0,0,0,,1,0,0,1,100,0,0,0,0,,0,0,0,0,,0,0,3,8,37.5,4,27.6,28.2,1,0,9,7,1,14.3,1,1,12.3,25,30,83.3,551,414,10,10,100,10,10,100,5,10,50,0,0,0,0,0,1,0,0,0
138,Kevin Trapp,de GER,GK,Eint Frankfurt,G. Bundesliga,34-321,1990,26,26,"2,295",25.5,34,1.33,117,82,70.9,12,8,6,6,23.1,2,0,2,0,100,0,6,1,34.9,0.3,1.9,0.08,89,312,28.5,123,31.7,29.9,130,41.5,36.9,394,24,6.1,28,1.1,13.6,693,947,73.2,15726,11103,217,217,100,324,331,97.9,148,389,38,0,0,0,0,0,7,0,0,1
139,Tobias Sippel,de GER,GK,Gladbach,G. Bundesliga,37-064,1988,1,0,59,0.7,3,4.58,4,1,25,0,0,0,0,,0,0,0,0,,0,1,0,1.2,0.3,-1.8,-2.72,9,22,40.9,2,45.5,39.2,12,100,69.2,13,0,0,0,0,2,20,34,58.8,827,694,1,1,100,8,8,100,11,25,44,0,0,0,0,0,0,0,0,0
140,Alexander Schwolow,de GER,GK,Union Berlin,G. Bundesliga,32-357,1992,6,6,540,6,13,2.17,28,15,57.1,2,0,4,0,0,1,1,0,0,0,0,0,0,9.7,0.32,-3.3,-0.55,28,73,38.4,26,31.3,31,40,52.5,42.6,85,0,0,4,0.67,14.2,148,207,71.5,3850,2771,41,41,100,70,71,98.6,37,93,39.8,0,0,0.1,0,0,2,2,0,0
141,Kauã Santos,br BRA,GK,Eint Frankfurt,G. Bundesliga,22-044,2003,9,8,765,8.5,12,1.41,46,35,76.1,5,1,2,3,37.5,1,1,0,0,0,0,4,1,14.3,0.3,3.3,0.39,40,116,34.5,34,37.1,33.2,44,54.5,42.9,137,16,11.7,18,2.12,14,205,295,69.5,5287,4026,54,55,98.2,89,90,98.9,60,144,41.7,0,0,0,0,1,4,0,0,1
142,Frederik Rønnow,dk DEN,GK,Union Berlin,G. Bundesliga,32-294,1992,28,28,"2,520",28,37,1.32,111,71,67.6,8,11,9,8,28.6,5,1,4,0,80,1,1,1,39.3,0.32,3.3,0.12,143,395,36.2,135,36.6,34.3,161,78.3,54.3,483,40,8.3,35,1.25,13.4,619,902,68.6,18300,13570,103,104,99,302,306,98.7,212,483,43.9,0,0,0.1,0,0,24,3,0,1
143,Lasse Rieß,de GER,GK,Mainz 05,G. Bundesliga,23-302,2001,2,2,180,2,2,1,8,6,75,1,1,0,0,0,0,0,0,0,,0,0,0,2.2,0.27,0.2,0.09,13,43,30.2,7,51.4,41.6,12,50,45.6,23,2,8.7,8,4,18,53,84,63.1,1674,1331,9,9,100,24,24,100,20,51,39.2,0,0,0,0,0,7,0,0,0
144,Luca Philipp,de GER,GK,Hoffenheim,G. Bundesliga,24-178,2000,6,6,540,6,15,2.5,35,21,60,1,3,2,0,0,1,1,0,0,0,0,2,1,12.3,0.34,-1.7,-0.28,30,97,30.9,22,51,38.7,36,47.2,40.6,84,3,3.6,4,0.67,12.8,123,194,63.4,3580,2790,23,23,100,50,51,98,49,118,41.5,0,0,0,0,0,4,0,0,0
