Rk,Player,Nation,Pos,Squad,League,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKmiss,PK Save%,FK GA,CK GA,OG GA,PSxG,PSxG/SoT,PSxG+/-,PSxG+/-p90,Launched Pass Cmp,Launched Pass Att,Launched Pass Cmp%,GK Throws,Launched Pass%,AvgLen Launched,Att Goal Kicks,Launch Goal Kicks%,AvgLen Goal Kicks,Crosses faced,Crosses stopped,Crosses Stp%,OPA Actions,OPA p90,OPA AvgDist,Cmp Passes,Att Passes,Total Pass Cmp%,TotDist,PrgDist,Cmp Short Passes,Att Short Passes,Cmp Short Passes%,Cmp Med Passes,Att Med Passes,Cmp Med Passes%,Cmp Long Passes,Att Long Passes,Cmp Long Passes%,Ast,xAG,xA,A-xAG,KP,Passes into Final third,PPA,CrsPA,PrgP
168,Ben Alexander Voll,de GER,GK,St. Pauli,G. Bundesliga,24-167,2000,2,1,91,1,2,1.98,5,3,60,0,1,0,0,0,0,0,0,0,,0,0,0,2.4,0.48,0.4,0.41,7,28,25,5,59.5,44.7,13,46.2,39.7,15,0,0,0,0,,28,50,56,749,588,8,8,100,13,14,92.9,7,28,25,0,0.1,0,-0.1,1,0,0,0,0
169,Danny Ward,wls WAL,GK,Leicester City,EPL,31,1993,2,1,135,1.5,6,4,10,4,40,0,0,1,0,0,0,0,0,0,,0,0,0,2.8,0.28,-3.2,-2.11,10,22,45.5,9,37,32,7,71.4,52,11,0,0,2,1.33,20.7,41,53,77.4,1162,949,6,6,100,20,20,100,15,27,55.6,0,0,0,0,0,2,0,0,0
170,Christian Walton,eng ENG,GK,Ipswich Town,EPL,28,1995,7,7,630,7,19,2.71,39,20,56.4,1,1,5,1,14.3,2,2,0,0,0,0,0,0,16.8,0.39,-2.2,-0.31,42,116,36.2,35,42.6,34.3,51,56.9,44.5,112,12,10.7,2,0.29,8.1,177,255,69.4,4780,3406,49,49,100,80,82,97.6,48,124,38.7,0,0,0,0,1,3,0,0,0
171,Guglielmo Vicario,it ITA,GK,Tottenham,EPL,27,1996,24,24,"2,160",24,37,1.54,102,67,64.7,9,3,12,4,16.7,1,1,0,0,0,0,6,2,37.4,0.36,2.4,0.1,28,95,29.5,120,10.5,22.8,64,15.6,23,313,29,9.3,31,1.29,13.4,761,872,87.3,15069,8788,236,238,99.2,430,444,96.8,88,181,48.6,0,0,0,0,0,2,0,0,1
172,Bart Verbruggen,nl NED,GK,Brighton,EPL,21,2002,36,36,"3,240",36,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0,1,4,2,51,0.31,-5,-0.14,123,386,31.9,122,26.9,29.7,83,67.5,48.5,413,27,6.5,47,1.31,13.9,1012,1315,77,24052,16244,287,289,99.3,475,483,98.3,244,529,46.1,1,0,0,1,1,20,1,0,2
173,Mark Travers,ie IRL,GK,Bournemouth,EPL,25,1999,5,5,450,5,5,1,25,20,80,2,2,1,1,20,0,0,0,0,,1,1,0,9.5,0.38,4.5,0.89,33,73,45.2,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1,12.9,100,142,70.4,3469,2692,6,6,100,51,53,96.2,43,83,51.8,0,0,0,0,0,3,0,0,0
174,Jakub Stolarczyk,pl POL,GK,Leicester City,EPL,23,2000,10,10,900,10,16,1.6,44,28,63.6,3,1,6,2,20,0,0,0,0,,0,2,0,15.7,0.36,-0.3,-0.03,58,196,29.6,36,46.5,34.3,59,74.6,50.6,169,10,5.9,8,0.8,12.5,238,386,61.7,6271,4605,69,69,100,90,93,96.8,78,222,35.1,0,0,0,0,0,2,0,0,1
175,Jason Steele,eng ENG,GK,Brighton,EPL,33,1990,2,2,180,2,1,0.5,4,3,75,2,0,0,1,50,0,0,0,0,,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,7,13.6,25.1,2,50,43,22,2,9.1,3,1.5,15.4,101,112,90.2,2321,1556,21,21,100,63,65,96.9,17,26,65.4,0,0,0,0,0,0,0,0,0
176,Matz Sels,be BEL,GK,Nott'ham Forest,EPL,32,1992,38,38,"3,420",38,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0,1,5,0,49,0.29,3,0.08,244,697,35,83,68.3,44.7,270,77.4,54.3,711,19,2.7,12,0.32,8.7,519,997,52.1,19315,16456,78,78,100,168,171,98.2,272,734,37.1,0,0.4,0.3,-0.4,2,45,4,0,2
177,Robert Sánchez,es ESP,GK,Chelsea,EPL,26,1997,32,32,"2,880",32,34,1.06,127,92,76.4,17,9,6,10,31.3,5,4,1,0,20,0,4,0,35.7,0.25,1.7,0.05,98,423,23.2,190,33.2,33.4,82,46.3,40.3,371,47,12.7,57,1.78,14.5,871,1248,69.8,21013,13965,209,210,99.5,457,473,96.6,201,552,36.4,0,0.1,0,-0.1,2,26,1,0,1
178,José Sá,pt POR,GK,Wolves,EPL,31,1993,29,29,"2,609",29,48,1.66,117,69,63.2,11,5,13,7,24.1,7,5,2,0,28.6,1,6,2,43,0.33,-3,-0.1,94,382,24.6,121,39.3,35.3,150,52.7,41.5,433,32,7.4,43,1.48,15.6,592,924,64.1,15372,10433,117,118,99.2,328,338,97,143,460,31.1,0,0.2,0,-0.2,3,22,1,0,2
179,David Raya,es ESP,GK,Arsenal,EPL,28,1995,38,38,"3,420",38,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0,2,8,0,35.2,0.28,1.2,0.03,149,478,31.2,178,29.9,29.9,147,68,49.1,402,54,13.4,66,1.74,17.1,1040,1414,73.6,24802,17242,283,286,99,539,551,97.8,215,570,37.7,0,0,0.1,0,1,45,3,0,14
180,Aaron Ramsdale,eng ENG,GK,Southampton,EPL,26,1998,30,30,"2,700",30,66,2.2,188,120,67.6,2,5,23,3,10,7,5,2,0,28.6,0,10,0,63.5,0.32,-2.5,-0.08,197,605,32.6,129,44.6,36.1,190,77.4,55.9,455,24,5.3,20,0.67,11.8,775,1223,63.4,22014,17055,209,210,99.5,302,313,96.5,258,686,37.6,0,0,0.1,0,0,36,1,0,0
181,Hákon Rafn Valdimarsson,is ISL,GK,Brentford,EPL,22,2001,2,1,145,1.6,2,1.24,4,3,50,0,0,1,1,100,0,0,0,0,,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0,4.7,46,70,65.7,1445,1110,8,8,100,21,21,100,17,41,41.5,0,0,0,0,0,2,0,0,0
182,Nick Pope,eng ENG,GK,Newcastle Utd,EPL,32,1992,28,28,"2,520",28,35,1.25,120,86,71.7,13,6,9,8,28.6,2,1,1,0,50,0,3,2,34.7,0.28,1.7,0.06,72,257,28,192,25.7,30.7,187,55.6,43.7,359,39,10.9,64,2.29,16,575,782,73.5,14609,8821,119,120,99.2,301,306,98.4,151,351,43,0,0,0,0,1,2,0,0,1
183,Jordan Pickford,eng ENG,GK,Everton,EPL,30,1994,38,38,"3,420",38,44,1.16,163,117,73,11,15,12,12,31.6,2,0,2,0,100,1,6,0,48.8,0.3,4.8,0.13,304,807,37.7,160,48.9,39.8,234,62.4,48.5,558,31,5.6,57,1.5,15.2,1056,1595,66.2,33677,25125,152,153,99.3,458,465,98.5,445,967,46,1,0.4,0.2,0.6,2,74,8,0,0
184,Alex Palmer,eng ENG,GK,Ipswich Town,EPL,27,1996,13,13,"1,170",13,30,2.31,71,43,59.2,1,3,9,0,0,1,1,0,0,0,0,9,2,25.1,0.35,-2.9,-0.22,71,186,38.2,55,36.8,33.9,94,69.1,50.8,249,20,8,13,1,11.5,299,423,70.7,8545,6103,60,62,96.8,142,142,100,96,218,44,0,0,0,0,1,8,0,0,1
185,Stefan Ortega,de GER,GK,Manchester City,EPL,31,1992,13,12,"1,100",12.2,18,1.47,50,33,68,5,4,3,3,25,2,2,0,0,0,1,1,1,16.3,0.31,-0.7,-0.06,40,104,38.5,55,21.5,26.7,49,32.7,28.2,133,6,4.5,12,0.98,14.3,373,459,81.3,8327,5597,102,105,97.1,190,196,96.9,79,154,51.3,0,0,0,0,0,6,0,0,0
186,André Onana,cm CMR,GK,Manchester Utd,EPL,28,1996,34,34,"3,060",34,44,1.29,132,88,68.9,10,9,15,9,26.5,4,3,1,0,25,1,10,1,44,0.31,1,0.03,118,440,26.8,136,29.7,30.3,149,65.8,47.2,399,22,5.5,23,0.68,11.8,948,1306,72.6,22819,13922,220,222,99.1,524,529,99.1,199,544,36.6,0,0.2,0.2,-0.2,1,28,0,0,1
187,Robin Olsen,se SWE,GK,Aston Villa,EPL,34,1990,4,1,226,2.5,6,2.39,14,8,64.3,1,0,0,1,100,1,1,0,0,0,0,0,0,6.6,0.42,0.6,0.23,19,53,35.8,1,41.9,35.6,26,84.6,60.2,39,3,7.7,0,0,8.6,65,100,65,2098,1610,11,11,100,32,32,100,22,57,38.6,0,0,0,0,0,3,0,0,0
188,Neto,br BRA,GK,Bournemouth,EPL,35,1989,2,2,180,2,2,1,13,11,84.6,0,2,0,0,0,0,0,0,0,,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6,40,62,64.5,1183,896,7,7,100,21,21,100,12,33,36.4,0,0,0,0,0,2,0,0,0
189,Arijanet Muric,xk KVX,GK,Ipswich Town,EPL,25,1998,18,18,"1,620",18,33,1.83,100,67,70,2,6,10,1,5.6,3,3,0,0,0,0,2,0,31.4,0.29,-1.6,-0.09,76,229,33.2,94,29.6,30.3,94,75.5,54.6,249,39,15.7,20,1.11,12.2,454,633,71.7,11705,8247,122,122,100,215,221,97.3,115,283,40.6,0,0,0,0,0,14,0,0,1
190,Alex McCarthy,eng ENG,GK,Southampton,EPL,34,1989,5,5,450,5,13,2.6,37,24,70.3,0,0,5,0,0,2,2,0,0,0,0,1,0,12.6,0.29,-0.4,-0.07,24,52,46.2,29,33.3,29.5,23,34.8,30.7,74,8,10.8,0,0,6.5,117,156,75,2823,1985,41,43,95.3,45,49,91.8,30,61,49.2,0,0,0,0,0,5,0,0,0
191,Emiliano Martínez,ar ARG,GK,Aston Villa,EPL,31,1992,37,37,"3,194",35.5,45,1.27,142,96,69,18,9,10,8,21.6,2,1,1,0,50,1,2,0,45.8,0.32,0.8,0.02,162,420,38.6,133,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7,1091,1387,78.7,28653,17493,194,198,98,629,640,98.3,268,542,49.4,0,0.5,0.1,-0.5,2,27,0,0,4
192,Joe Lumley,eng ENG,GK,Southampton,EPL,29,1995,3,3,270,3,7,2.33,20,13,65,0,1,2,0,0,0,0,0,0,,0,1,0,7.7,0.39,0.7,0.22,15,50,30,14,34.1,30,15,26.7,24,56,2,3.6,7,2.33,18,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,0,0,0,0,0,2,0,0,0
193,Bernd Leno,de GER,GK,Fulham,EPL,32,1992,38,38,"3,420",38,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25,0,6,2,48.8,0.29,-3.2,-0.08,141,367,38.4,167,22.7,28.9,172,51.2,41.9,507,23,4.5,33,0.87,13.3,1148,1403,81.8,28192,16967,226,227,99.6,683,691,98.8,227,471,48.2,1,0.1,0.1,0.9,2,16,2,0,0
194,Antonín Kinský,cz CZE,GK,Tottenham,EPL,21,2003,6,6,540,6,11,1.83,32,23,65.6,1,0,5,1,16.7,0,0,0,0,,0,1,2,10.1,0.32,1.1,0.18,17,58,29.3,37,26.9,30.9,30,26.7,29.1,110,10,9.1,9,1.5,12.1,167,217,77,4022,2525,27,27,100,98,101,97,39,84,46.4,0,0.1,0,-0.1,1,2,0,0,1
195,Tom King,wls WAL,GK,Wolves,EPL,29,1995,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,17,0,,,1,0,0,0,0,,0,1,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
196,Caoimhín Kelleher,ie IRL,GK,Liverpool,EPL,25,1998,10,10,900,10,12,1.2,37,24,67.6,7,2,1,4,40,1,0,1,0,100,0,1,0,11.6,0.3,-0.4,-0.04,29,115,25.2,49,28.6,29,18,61.1,42.8,113,6,5.3,9,0.9,14,289,382,75.7,6252,3968,99,99,100,147,147,100,43,135,31.9,0,0,0,0,0,6,0,0,0
197,Filip Jørgensen,dk DEN,GK,Chelsea,EPL,22,2002,6,6,540,6,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0,0,1,0,9.3,0.3,0.3,0.04,7,33,21.2,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2,158,189,83.6,2843,1649,64,64,100,79,81,97.5,11,40,27.5,0,0,0,0,0,1,0,0,0
198,Sam Johnstone,eng ENG,GK,Wolves,EPL,31,1993,7,7,630,7,17,2.43,39,23,61.5,0,1,6,0,0,2,2,0,0,0,0,5,1,13,0.29,-3,-0.43,52,129,40.3,28,45.6,36.6,25,56,43.2,104,8,7.7,11,1.57,13.4,184,278,66.2,5548,4270,31,32,96.9,80,82,97.6,72,160,45,0,0,0,0,1,6,0,0,0
199,Vitezslav Jaros,cz CZE,GK,Liverpool,EPL,23,2001,1,0,12,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,0,,0,0,0,0,0.03,0,0.25,5,7,71.4,2,85.7,50.9,1,100,59,2,0,0,0,0,11,6,8,75,302,273,0,0,,1,1,100,5,7,71.4,0,0,0,0,0,2,0,0,0
200,Mads Hermansen,dk DEN,GK,Leicester City,EPL,24,2000,27,27,"2,385",26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25,0,3,3,56.4,0.35,1.4,0.05,114,471,24.2,133,39.2,34.6,143,75.5,51.5,419,26,6.2,26,0.98,13.1,654,1073,61,17066,12387,151,155,97.4,312,329,94.8,191,584,32.7,0,0,0,0,0,20,1,0,1
201,Dean Henderson,eng ENG,GK,Crystal Palace,EPL,27,1997,38,38,"3,420",38,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50,1,5,3,51.2,0.35,3.2,0.08,157,601,26.1,115,47.4,38.5,273,56.4,45,559,31,5.5,40,1.05,14.3,745,1217,61.2,20402,13552,180,181,99.4,350,353,99.2,211,678,31.1,0,0.1,0.1,-0.1,2,23,1,0,0
202,Fraser Forster,eng ENG,GK,Tottenham,EPL,36,1988,7,7,630,7,15,2.14,42,27,69,1,2,4,1,14.3,2,2,0,0,0,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,30,21.3,27.2,56,1.8,14.6,81,4,4.9,3,0.43,11.1,168,198,84.8,3349,2105,54,55,98.2,86,90,95.6,23,47,48.9,0,0,0,0,0,1,0,0,0
203,Mark Flekken,nl NED,GK,Brentford,EPL,31,1993,37,37,"3,275",36.4,55,1.51,203,150,73.4,16,8,13,7,18.9,1,1,0,0,0,0,2,2,53,0.26,0,0,249,660,37.7,122,33.8,34.5,212,72.6,54.8,581,46,7.9,34,0.93,11.5,1253,1717,73,37031,25345,152,155,98.1,676,692,97.7,425,863,49.2,2,0.5,0.1,1.5,3,50,2,0,0
204,Łukasz Fabiański,pl POL,GK,West Ham,EPL,39,1985,14,13,"1,160",12.9,21,1.63,71,50,74.6,6,3,4,2,15.4,3,3,0,0,0,1,3,0,22.6,0.29,1.6,0.12,78,226,34.5,57,41.9,35.5,100,61,45.1,217,9,4.1,12,0.93,13.4,333,495,67.3,9657,6875,59,59,100,159,160,99.4,115,275,41.8,0,0,0,0,0,5,0,0,0
205,Ederson,br BRA,GK,Manchester City,EPL,30,1993,26,26,"2,320",25.8,26,1.01,78,53,69.2,16,4,6,10,38.5,2,2,0,0,0,0,3,1,30,0.37,5,0.19,73,166,44,108,17.5,27.9,76,23.7,32.1,224,13,5.8,49,1.9,17.5,810,922,87.9,19920,13257,141,141,100,469,477,98.3,196,299,65.6,4,1.5,0.2,2.5,4,21,1,0,2
206,Martin Dúbravka,sk SVK,GK,Newcastle Utd,EPL,35,1989,10,10,900,10,12,1.2,41,29,70.7,7,0,3,5,50,0,0,0,0,,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,54,15.8,25.2,59,62.7,45.4,127,10,7.9,11,1.1,15.3,265,333,79.6,5932,3082,58,58,100,161,161,100,45,112,40.2,0,0,0,0,0,0,0,0,0
207,Daniel Bentley,eng ENG,GK,Wolves,EPL,31,1993,2,2,180,2,4,2,12,8,66.7,1,0,1,1,50,0,0,0,0,,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,6,25,28.1,13,61.5,46.4,25,0,0,3,1.5,16.4,49,65,75.4,1252,851,6,6,100,33,33,100,10,26,38.5,0,0,0,0,0,1,0,0,0
208,Altay Bayındır,tr TUR,GK,Manchester Utd,EPL,26,1998,4,4,360,4,10,2.5,17,8,41.2,1,0,3,1,25,0,0,0,0,,0,0,1,10.1,0.59,1.1,0.27,14,63,22.2,12,34.6,34.4,25,76,53.9,55,4,7.3,7,1.75,12,92,152,60.5,2499,1461,13,13,100,52,55,94.5,27,82,32.9,0,0,0,0,0,1,0,0,0
209,Brandon Austin,eng ENG,GK,Tottenham,EPL,25,1999,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,5,38.5,32.3,6,16.7,29,15,5,33.3,2,2,12.4,22,32,68.8,526,386,7,7,100,9,9,100,6,16,37.5,0,0,0,0,0,0,0,0,0
210,Kepa Arrizabalaga,es ESP,GK,Bournemouth,EPL,29,1994,31,31,"2,790",31,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0,0,4,0,41,0.28,2,0.07,132,365,36.2,122,33.3,32.9,192,46.4,38.7,367,22,6,54,1.74,16,750,1025,73.2,20474,13897,120,122,98.4,388,395,98.2,241,500,48.2,0,0,0,0,1,10,0,0,2
211,Alphonse Areola,fr FRA,GK,West Ham,EPL,31,1993,26,25,"2,260",25.1,41,1.63,115,77,64.3,5,7,13,5,20,0,0,0,0,,0,5,3,35.4,0.31,-2.6,-0.1,135,384,35.2,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15,688,989,69.6,18224,12284,153,154,99.4,334,350,95.4,198,473,41.9,0,0,0,0,0,11,0,0,1
212,Alisson,br BRA,GK,Liverpool,EPL,31,1992,28,28,"2,508",27.9,29,1.04,100,73,72,18,7,3,9,32.1,1,1,0,0,0,0,2,2,30.7,0.3,3.7,0.13,68,203,33.5,128,19.7,26.6,80,37.5,33.4,255,11,4.3,49,1.76,16,794,959,82.8,17558,11367,229,232,98.7,426,433,98.4,137,289,47.4,0,0.6,0.2,-0.6,1,12,0,0,1
